timestamp,gpu_util,vram_used_mb
2025-08-13 00:09:11,0, 749
2025-08-13 00:09:26,17, 756
2025-08-13 00:09:41,13, 756
2025-08-13 00:09:56,4, 865
2025-08-13 00:10:11,0, 753
2025-08-13 00:10:26,0, 739
2025-08-13 00:10:41,0, 735
2025-08-13 00:10:56,0, 733
2025-08-13 00:11:11,0, 754
2025-08-13 00:11:27,0, 739
2025-08-13 00:11:42,0, 732
2025-08-13 00:11:57,35, 742
2025-08-13 00:12:12,19, 742
2025-08-13 00:12:27,1, 738
2025-08-13 00:12:42,0, 733
2025-08-13 00:12:57,0, 750
2025-08-13 00:13:12,0, 770
2025-08-13 00:13:27,0, 739
2025-08-13 00:13:42,0, 725
2025-08-13 00:13:57,8, 715
2025-08-13 00:14:12,0, 727
2025-08-13 00:14:27,0, 767
2025-08-13 00:14:43,22, 728
2025-08-13 00:14:58,2, 750
2025-08-13 00:15:13,14, 728
2025-08-13 00:15:28,0, 738
2025-08-13 00:15:43,42, 757
2025-08-13 00:15:58,0, 740
2025-08-13 00:16:13,0, 757
2025-08-13 00:16:28,16, 726
2025-08-13 00:16:43,21, 735
2025-08-13 00:16:58,19, 730
2025-08-13 00:17:13,18, 742
2025-08-13 00:17:28,0, 735
2025-08-13 00:17:44,0, 735
2025-08-13 00:17:59,0, 735
2025-08-13 00:18:14,0, 735
2025-08-13 00:18:29,6, 749
2025-08-13 00:18:44,0, 770
2025-08-13 00:18:59,2, 756
2025-08-13 00:19:14,0, 742
2025-08-13 00:19:29,0, 826
2025-08-13 00:19:44,0, 807
2025-08-13 00:19:59,0, 890
2025-08-13 00:20:14,0, 805
2025-08-13 00:20:29,0, 795
2025-08-13 00:20:44,0, 794
2025-08-13 00:20:59,2, 810
2025-08-13 00:21:15,0, 814
2025-08-13 00:21:30,0, 816
2025-08-13 00:21:45,0, 816
2025-08-13 00:22:00,0, 816
2025-08-13 00:22:15,0, 816
2025-08-13 00:22:30,0, 816
2025-08-13 00:22:45,0, 813
2025-08-13 00:23:00,0, 823
2025-08-13 00:23:15,1, 807
2025-08-13 00:23:30,0, 811
2025-08-13 00:23:45,0, 815
2025-08-13 00:24:00,0, 816
2025-08-13 00:24:16,3, 817
